epoch,step,test_acc,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
15,5327,,0.8228228092193604,,0.8281008005142212,,,
16,5349,,,0.78125,,0.8026410341262817,,
16,5399,,,0.90625,,0.6084732413291931,,
16,5449,,,0.859375,,0.7517021894454956,,
16,5499,,,0.734375,,0.8791568279266357,,
16,5549,,,0.75,,0.9451830983161926,,
16,5599,,,0.84375,,0.737890362739563,,
16,5649,,,0.734375,,0.9475589990615845,,
16,5660,,,,,,0.8337087035179138,0.750625729560852
16,5660,,0.8413100838661194,,0.7516106963157654,,,
17,5699,,,0.8125,,0.8368738293647766,,
17,5749,,,0.90625,,0.7022200226783752,,
17,5799,,,0.953125,,0.5605756640434265,,
17,5849,,,0.90625,,0.6424341797828674,,
17,5899,,,0.890625,,0.5869210362434387,,
17,5949,,,0.84375,,0.7282758951187134,,
17,5993,,,,,,0.8532282114028931,0.687888503074646
17,5993,,0.8621433973312378,,0.6829990148544312,,,
18,5999,,,0.875,,0.5883259177207947,,
18,6049,,,0.890625,,0.6340693235397339,,
18,6099,,,0.921875,,0.56397545337677,,
18,6149,,,0.796875,,0.8034965991973877,,
18,6199,,,0.921875,,0.677138090133667,,
18,6249,,,0.84375,,0.6727813482284546,,
18,6299,,,0.90625,,0.5374830961227417,,
18,6326,,,,,,0.8631756901741028,0.6329013705253601
18,6326,,0.880630612373352,,0.6205295920372009,,,
19,6349,,,0.875,,0.6657341122627258,,
19,6399,,,0.828125,,0.7020509243011475,,
19,6449,,,0.875,,0.5114999413490295,,
19,6499,,,0.859375,,0.48491695523262024,,
19,6549,,,0.953125,,0.5302831530570984,,
19,6599,,,0.890625,,0.5764179229736328,,
19,6649,,,0.84375,,0.6204169392585754,,
19,6659,,,,,,0.880630612373352,0.5702365040779114
19,6659,,0.8956925868988037,,0.5650255084037781,,,
20,6699,,,0.921875,,0.4799182116985321,,
20,6749,,,0.921875,,0.5163278579711914,,
20,6799,,,0.921875,,0.547447681427002,,
20,6849,,,0.890625,,0.497071236371994,,
20,6899,,,0.875,,0.49510565400123596,,
20,6949,,,0.96875,,0.4600324332714081,,
20,6992,,,,,,0.8945195078849792,0.5279864072799683
20,6992,,0.9073761105537415,,0.5164564251899719,,,
21,6999,,,0.96875,,0.3466910719871521,,
21,7049,,,0.96875,,0.4334401488304138,,
21,7099,,,0.84375,,0.5768565535545349,,
21,7149,,,0.921875,,0.4434075653553009,,
21,7199,,,0.875,,0.5414488911628723,,
21,7249,,,0.96875,,0.3379710614681244,,
21,7299,,,0.859375,,0.5997481346130371,,
21,7325,,,,,,0.904466986656189,0.49245208501815796
21,7325,,0.9190127849578857,,0.47262147068977356,,,
22,7349,,,0.953125,,0.44777917861938477,,
22,7399,,,0.921875,,0.50607830286026,,
22,7449,,,0.921875,,0.49196064472198486,,
22,7499,,,0.90625,,0.5776673555374146,,
22,7549,,,0.9375,,0.4542950689792633,,
22,7599,,,0.953125,,0.2776617407798767,,
22,7649,,,0.953125,,0.38199636340141296,,
22,7658,,,,,,0.9164789915084839,0.4545360803604126
22,7658,,0.9298517107963562,,0.43147531151771545,,,
23,7699,,,0.921875,,0.4839003086090088,,
23,7749,,,0.921875,,0.4574686884880066,,
23,7799,,,0.96875,,0.3576374351978302,,
23,7849,,,0.921875,,0.35048818588256836,,
23,7899,,,0.9375,,0.4334433972835541,,
23,7949,,,0.953125,,0.3247417211532593,,
23,7991,,,,,,0.9183558821678162,0.4169299006462097
23,7991,,0.9382507801055908,,0.39655110239982605,,,
24,7999,,,0.921875,,0.47489169239997864,,
24,8049,,,0.9375,,0.3073471784591675,,
24,8099,,,0.953125,,0.29829278588294983,,
24,8149,,,0.90625,,0.44862186908721924,,
24,8199,,,0.875,,0.4399672746658325,,
24,8249,,,0.9375,,0.27385666966438293,,
24,8299,,,0.96875,,0.2916437089443207,,
24,8324,,,,,,0.932620108127594,0.38583049178123474
24,8324,,0.9459459185600281,,0.3652836084365845,,,
25,8349,,,0.984375,,0.23704464733600616,,
25,8399,,,0.96875,,0.36509618163108826,,
25,8449,,,0.921875,,0.42166176438331604,,
25,8499,,,0.984375,,0.28942811489105225,,
25,8549,,,0.9375,,0.32241788506507874,,
25,8599,,,1.0,,0.2924787998199463,,
25,8649,,,0.9375,,0.4554246962070465,,
25,8657,,,,,,0.9337462186813354,0.35984084010124207
25,8657,,0.9522334933280945,,0.33684366941452026,,,
26,8699,,,0.96875,,0.23344826698303223,,
26,8749,,,0.984375,,0.36865657567977905,,
26,8799,,,1.0,,0.18495771288871765,,
26,8849,,,0.90625,,0.48962342739105225,,
26,8899,,,0.96875,,0.2680412232875824,,
26,8949,,,0.953125,,0.3088848292827606,,
26,8990,,,,,,0.9459459185600281,0.3380066752433777
26,8990,,0.9593186974525452,,0.3103289306163788,,,
27,8999,,,0.984375,,0.2380182296037674,,
27,9049,,,0.9375,,0.3113464415073395,,
27,9099,,,0.96875,,0.2935410439968109,,
27,9149,,,1.0,,0.1458214968442917,,
27,9199,,,0.953125,,0.3074501156806946,,
27,9249,,,0.984375,,0.2223493754863739,,
27,9299,,,0.96875,,0.2665569484233856,,
27,9323,,,,,,0.9504504799842834,0.30832281708717346
27,9323,,0.9637293815612793,,0.28625568747520447,,,
28,9349,,,0.984375,,0.24456243216991425,,
28,9399,,,0.984375,,0.26623308658599854,,
28,9449,,,0.984375,,0.21461553871631622,,
28,9499,,,1.0,,0.2298404425382614,,
28,9549,,,1.0,,0.1723218411207199,,
28,9599,,,1.0,,0.21454261243343353,,
28,9649,,,0.984375,,0.15216606855392456,,
28,9656,,,,,,0.952327311038971,0.2961101830005646
28,9656,,0.9692661166191101,,0.2661152482032776,,,
29,9699,,,0.953125,,0.305889368057251,,
29,9749,,,0.953125,,0.29675137996673584,,
29,9799,,,0.96875,,0.2831692695617676,,
29,9849,,,1.0,,0.1946718841791153,,
29,9899,,,0.96875,,0.19098083674907684,,
29,9949,,,0.9375,,0.23728562891483307,,
29,9989,,,,,,0.9528903961181641,0.27839529514312744
29,9989,,0.9727383852005005,,0.2475818693637848,,,
30,9999,,,0.953125,,0.2048541158437729,,
30,10049,,,0.953125,,0.28901124000549316,,
30,10099,,,0.96875,,0.2801228165626526,,
30,10149,,,0.953125,,0.22911834716796875,,
30,10199,,,0.96875,,0.22232185304164886,,
30,10249,,,0.96875,,0.262175589799881,,
30,10299,,,1.0,,0.2254529893398285,,
30,10322,,,,,,0.9647147059440613,0.26183363795280457
30,10322,,0.9747560024261475,,0.22995327413082123,,,
31,10349,,,0.984375,,0.17900514602661133,,
31,10399,,,0.984375,,0.20907023549079895,,
31,10449,,,0.9375,,0.2655603289604187,,
31,10499,,,1.0,,0.14452338218688965,,
31,10549,,,1.0,,0.18525347113609314,,
31,10599,,,0.953125,,0.2910082936286926,,
31,10649,,,0.96875,,0.21856290102005005,,
31,10655,,,,,,0.9667792916297913,0.24423635005950928
31,10655,,0.9789320826530457,,0.21397139132022858,,,
32,10699,,,0.96875,,0.19625651836395264,,
32,10749,,,0.984375,,0.21961501240730286,,
32,10799,,,1.0,,0.15147912502288818,,
32,10849,,,0.96875,,0.2192150056362152,,
32,10899,,,0.984375,,0.20178885757923126,,
32,10949,,,1.0,,0.17120635509490967,,
32,10988,,,,,,0.9639639854431152,0.22972337901592255
32,10988,,0.9804804921150208,,0.19986988604068756,,,
33,10999,,,0.9375,,0.25405988097190857,,
33,11049,,,1.0,,0.1694662868976593,,
33,11099,,,0.96875,,0.2070784717798233,,
33,11149,,,1.0,,0.15082567930221558,,
33,11199,,,1.0,,0.12266610562801361,,
33,11249,,,1.0,,0.15068255364894867,,
33,11299,,,0.984375,,0.17365893721580505,,
33,11321,,,,,,0.9720345139503479,0.21462969481945038
33,11321,,0.9822165966033936,,0.1871841549873352,,,
34,11349,,,1.0,,0.14349894225597382,,
34,11399,,,0.9375,,0.2635049521923065,,
34,11449,,,1.0,,0.17822931706905365,,
34,11499,,,0.984375,,0.18367454409599304,,
34,11549,,,1.0,,0.15883050858974457,,
34,11599,,,0.96875,,0.2661553621292114,,
34,11649,,,0.984375,,0.10020434856414795,,
34,11654,,,,,,0.9690315127372742,0.2084108591079712
34,11654,,0.9849849939346313,,0.17459768056869507,,,
35,11699,,,1.0,,0.13560537993907928,,
35,11749,,,1.0,,0.15827491879463196,,
35,11799,,,1.0,,0.09108244627714157,,
35,11849,,,0.96875,,0.17432469129562378,,
35,11899,,,1.0,,0.12618930637836456,,
35,11949,,,0.96875,,0.17309676110744476,,
35,11987,,,,,,0.9759759902954102,0.19168420135974884
35,11987,,0.9868149161338806,,0.16427730023860931,,,
36,11999,,,0.984375,,0.1409848928451538,,
36,12049,,,0.96875,,0.17716357111930847,,
36,12099,,,0.984375,,0.16256442666053772,,
36,12149,,,0.984375,,0.13264720141887665,,
36,12199,,,0.984375,,0.17589837312698364,,
36,12249,,,1.0,,0.1085803285241127,,
36,12299,,,0.984375,,0.15906547009944916,,
36,12320,,,,,,0.9748498201370239,0.19186578691005707
36,12320,,0.9880349040031433,,0.15478791296482086,,,
37,12349,,,1.0,,0.1226530373096466,,
37,12399,,,1.0,,0.1276429146528244,,
37,12449,,,0.984375,,0.19069573283195496,,
37,12499,,,0.984375,,0.15063562989234924,,
37,12549,,,1.0,,0.16830046474933624,,
37,12599,,,1.0,,0.09995473176240921,,
37,12649,,,0.984375,,0.15897676348686218,,
37,12653,,,,,,0.9780405163764954,0.17662961781024933
37,12653,,0.9887856841087341,,0.1454877108335495,,,
38,12699,,,0.984375,,0.13750165700912476,,
38,12749,,,0.96875,,0.19584988057613373,,
38,12799,,,0.984375,,0.1396694928407669,,
38,12849,,,1.0,,0.13552379608154297,,
38,12899,,,0.96875,,0.15113545954227448,,
38,12949,,,0.984375,,0.11278201639652252,,
38,12986,,,,,,0.9761636853218079,0.1678537279367447
38,12986,,0.990005612373352,,0.13712620735168457,,,
39,12999,,,1.0,,0.1377912014722824,,
39,13049,,,1.0,,0.11548943817615509,,
39,13099,,,1.0,,0.11570151150226593,,
39,13149,,,1.0,,0.11834775656461716,,
39,13199,,,0.984375,,0.147605761885643,,
39,13249,,,1.0,,0.0807061567902565,,
39,13299,,,1.0,,0.08033597469329834,,
39,13319,,,,,,0.9795420169830322,0.16272471845149994
39,13319,,0.9908033013343811,,0.13014154136180878,,,
40,13320,0.8823436498641968,,,,,,
