epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,72,,,,,0.8207217454910278,0.5452874898910522
0,72,,,0.6438666582107544,1.128361701965332,,
1,145,,,,,0.8905704021453857,0.3233776092529297
1,145,,,0.8860718607902527,0.3640165627002716,,
2,218,,,,,0.9095847606658936,0.27169549465179443
2,218,,,0.9197324514389038,0.2582167685031891,,
3,291,,,,,0.9107489585876465,0.2715317904949188
3,291,,,0.9269068837165833,0.2249915897846222,,
4,364,,,,,0.916957676410675,0.2492072731256485
4,364,,,0.9328406453132629,0.20832926034927368,,
5,437,,,,,0.9200620651245117,0.24629107117652893
5,437,,,0.9398532509803772,0.18759746849536896,,
6,510,,,,,0.9239425659179688,0.23471401631832123
6,510,,,0.9423346519470215,0.174546480178833,,
7,583,,,,,0.9177337884902954,0.23785893619060516
7,583,,,0.9458948969841003,0.16321709752082825,,
8,656,,,,,0.9138533473014832,0.26035749912261963
8,656,,,0.9497788548469543,0.15310388803482056,,
9,729,,,,,0.9239425659179688,0.22351472079753876
9,729,,,0.9526917934417725,0.14110293984413147,,
10,802,,,,,0.9251067042350769,0.2386646568775177
10,802,,,0.955928385257721,0.13074573874473572,,
11,875,,,,,0.9282110929489136,0.23410366475582123
11,875,,,0.9556047320365906,0.1321672648191452,,
12,948,,,,,0.9266589283943176,0.23311860859394073
12,948,,,0.9575466513633728,0.12250770628452301,,
13,1021,,,,,0.9251067042350769,0.2358418107032776
13,1021,,,0.9599201679229736,0.11612547934055328,,
14,1094,,,,,0.9351959824562073,0.22265620529651642
14,1094,,,0.9661775827407837,0.10185611993074417,,
15,1167,,,,,0.9293752312660217,0.22499524056911469
15,1167,,,0.9646131992340088,0.10286036133766174,,
16,1240,,,,,0.9305393695831299,0.23488613963127136
16,1240,,,0.965530276298523,0.09693823009729385,,
17,1313,,,,,0.9282110929489136,0.23674559593200684
17,1313,,,0.9676879644393921,0.09118789434432983,,
18,1386,,,,,0.9320915937423706,0.2544054388999939
18,1386,,,0.9694141745567322,0.08688145875930786,,
19,1459,,,,,0.9351959824562073,0.22905369102954865
19,1459,,,0.9724349975585938,0.08137889951467514,,
20,1532,,,,,0.923554539680481,0.2681777775287628
20,1532,,,0.9762649536132812,0.07000049203634262,,
21,1605,,,,,0.9204501509666443,0.2808085083961487
21,1605,,,0.9756715893745422,0.07128077745437622,,
22,1678,,,,,0.9282110929489136,0.2617015242576599
22,1678,,,0.9710325002670288,0.08313032239675522,,
23,1751,,,,,0.931703507900238,0.25823068618774414
23,1751,,,0.9773977994918823,0.0662430077791214,,
24,1824,,,,,0.9243305921554565,0.27632415294647217
24,1824,,,0.9748624563217163,0.07095342874526978,,
25,1897,,,,,0.9270469546318054,0.28737872838974
25,1897,,,0.9792318344116211,0.06121126934885979,,
26,1970,,,,,0.9293752312660217,0.2907477617263794
26,1970,,,0.9824144840240479,0.05261819437146187,,
27,2043,,,,,0.9285991191864014,0.3011828064918518
27,2043,,,0.985111653804779,0.0476674810051918,,
28,2116,,,,,0.9363601207733154,0.2737101912498474
28,2116,,,0.980040967464447,0.055463507771492004,,
29,2189,,,,,0.9285991191864014,0.335639089345932
29,2189,,,0.983331561088562,0.04742290452122688,,
30,2262,,,,,0.9285991191864014,0.3217235803604126
30,2262,,,0.9851655960083008,0.043825916945934296,,
31,2335,,,,,0.9344198703765869,0.3119553029537201
31,2335,,,0.9855431914329529,0.042360562831163406,,
32,2408,,,,,0.9223904013633728,0.3646625578403473
32,2408,,,0.9843025207519531,0.04440397769212723,,
33,2481,,,,,0.9258828163146973,0.3430739939212799
33,2481,,,0.9841946363449097,0.04690825566649437,,
34,2554,,,,,0.9247186779975891,0.3499060571193695
34,2554,,,0.981982946395874,0.04863247647881508,,
35,2627,,,,,0.9332557320594788,0.3143538236618042
35,2627,,,0.979447603225708,0.05617186054587364,,
36,2700,,,,,0.9285991191864014,0.3532908260822296
36,2700,,,0.9865681529045105,0.03660513460636139,,
37,2773,,,,,0.9344198703765869,0.35359829664230347
37,2773,,,0.9900744557380676,0.03009997494518757,,
38,2846,,,,,0.9157935380935669,0.42734065651893616
38,2846,,,0.987269401550293,0.03575823828577995,,
39,2919,,,,,0.9351959824562073,0.3687712252140045
39,2919,,,0.9840328097343445,0.04452328011393547,,
40,2992,,,,,0.9324796199798584,0.36167290806770325
40,2992,,,0.990398108959198,0.02863052487373352,,
41,3065,,,,,0.9293752312660217,0.39731431007385254
41,3065,,,0.9914230108261108,0.026823056861758232,,
42,3138,,,,,0.9336437582969666,0.3864280879497528
42,3138,,,0.9919624328613281,0.024414701387286186,,
43,3211,,,,,0.9278230667114258,0.41135600209236145
43,3211,,,0.9885100722312927,0.032392483204603195,,
44,3284,,,,,0.9227784276008606,0.44489872455596924
44,3284,,,0.9858668446540833,0.04095893353223801,,
45,3357,,,,,0.9301513433456421,0.4001978933811188
45,3357,,,0.9866220951080322,0.03717097267508507,,
46,3430,,,,,0.9266589283943176,0.427406907081604
46,3430,,,0.98904949426651,0.03217041864991188,,
47,3503,,,,,0.9313154816627502,0.4084533154964447
47,3503,,,0.9905599355697632,0.027754727751016617,,
48,3576,,,,,0.9289872050285339,0.4335629642009735
48,3576,,,0.9917466640472412,0.024200202897191048,,
49,3649,,,,,0.9258828163146973,0.42149704694747925
49,3649,,,0.9914230108261108,0.023513369262218475,,
50,3722,,,,,0.9177337884902954,0.4455976188182831
50,3722,,,0.9868378639221191,0.0390348806977272,,
51,3795,,,,,0.9188979268074036,0.3740040361881256
51,3795,,,0.9727047085762024,0.08044566214084625,,
52,3868,,,,,0.9262708425521851,0.36963239312171936
52,3868,,,0.9865681529045105,0.03928675875067711,,
53,3941,,,,,0.9293752312660217,0.389376163482666
53,3941,,,0.9922321438789368,0.023454442620277405,,
54,4014,,,,,0.9258828163146973,0.43839916586875916
54,4014,,,0.9935807585716248,0.0192390289157629,,
55,4087,,,,,0.9328676462173462,0.41214311122894287
55,4087,,,0.9934189319610596,0.019564298912882805,,
56,4160,,,,,0.9278230667114258,0.47009149193763733
56,4160,,,0.9933110475540161,0.020242389291524887,,
57,4233,,,,,0.9262708425521851,0.4563945531845093
57,4233,,,0.9930952787399292,0.020720312371850014,,
58,4306,,,,,0.9297633171081543,0.45389512181282043
58,4306,,,0.9922321438789368,0.02208164520561695,,
59,4379,,,,,0.9262708425521851,0.4653722941875458
59,4379,,,0.990991473197937,0.02514568902552128,,
60,4452,,,,,0.9289872050285339,0.4503075182437897
60,4452,,,0.9896968603134155,0.02740367129445076,,
61,4525,,,,,0.9251067042350769,0.43207618594169617
61,4525,,,0.9862984418869019,0.03920619189739227,,
62,4598,,,,,0.9285991191864014,0.4129326045513153
62,4598,,,0.9830617904663086,0.04951954260468483,,
63,4671,,,,,0.9204501509666443,0.44389498233795166
63,4671,,,0.988456130027771,0.03257392346858978,,
64,4744,,,,,0.9293752312660217,0.4007479250431061
64,4744,,,0.991584837436676,0.02540169283747673,,
65,4817,,,,,0.9270469546318054,0.46852540969848633
65,4817,,,0.993526816368103,0.018641045317053795,,
66,4890,,,,,0.9173457622528076,0.4405469298362732
66,4890,,,0.9827920794487,0.04969583451747894,,
67,4963,,,,,0.9177337884902954,0.46339017152786255
67,4963,,,0.9848419427871704,0.041739221662282944,,
68,5036,,,,,0.9247186779975891,0.4484809637069702
68,5036,,,0.9899126291275024,0.02863321825861931,,
69,5109,,,,,0.9332557320594788,0.4381658136844635
69,5109,,,0.9936886429786682,0.01844366453588009,,
70,5182,,,,,0.9297633171081543,0.44565659761428833
70,5182,,,0.9946596026420593,0.015025285072624683,,
71,5255,,,,,0.9324796199798584,0.4440240263938904
71,5255,,,0.9951990246772766,0.014091179706156254,,
72,5328,,,,,0.9324796199798584,0.46435680985450745
72,5328,,,0.9954148530960083,0.01417834497988224,,
73,5401,,,,,0.9301513433456421,0.48922550678253174
73,5401,,,0.9949832558631897,0.014681369997560978,,
74,5474,,,,,0.9239425659179688,0.532985508441925
74,5474,,,0.994120180606842,0.01642313227057457,,
75,5547,,,,,0.9285991191864014,0.5167479515075684
75,5547,,,0.9948753714561462,0.014057891443371773,,
76,5620,,,,,0.9293752312660217,0.5106423497200012
76,5620,,,0.9949832558631897,0.015187407843768597,,
77,5693,,,,,0.9293752312660217,0.5068501234054565
77,5693,,,0.9933649897575378,0.017105774953961372,,
78,5766,,,,,0.9309274554252625,0.5108892917633057
78,5766,,,0.9918545484542847,0.022208750247955322,,
79,5839,,,,,0.9053162336349487,0.48666316270828247
79,5839,,,0.9758334159851074,0.07321552187204361,,
80,5912,,,,,0.9266589283943176,0.40168729424476624
80,5912,,,0.9864063262939453,0.04046882316470146,,
81,5985,,,,,0.9313154816627502,0.4214450716972351
81,5985,,,0.9941741228103638,0.018213685601949692,,
82,6058,,,,,0.9309274554252625,0.44742175936698914
82,6058,,,0.9956845641136169,0.012824033387005329,,
83,6131,,,,,0.9285991191864014,0.45229196548461914
83,6131,,,0.9946596026420593,0.0163797028362751,,
84,6204,,,,,0.9251067042350769,0.5281648635864258
84,6204,,,0.9951990246772766,0.01371794380247593,,
85,6277,,,,,0.9266589283943176,0.48549002408981323
85,6277,,,0.9949832558631897,0.014592682011425495,,
86,6350,,,,,0.9324796199798584,0.5145613551139832
86,6350,,,0.9960082173347473,0.01177673414349556,,
87,6423,,,,,0.918121874332428,0.5590659379959106
87,6423,,,0.9944438338279724,0.01596960239112377,,
88,6496,,,,,0.923554539680481,0.49271807074546814
88,6496,,,0.9865142107009888,0.04019784927368164,,
89,6569,,,,,0.9270469546318054,0.47138136625289917
89,6569,,,0.9908835887908936,0.02651078812777996,,
90,6642,,,,,0.9208381772041321,0.5203157067298889
90,6642,,,0.9952529668807983,0.014486237429082394,,
91,6715,,,,,0.9262708425521851,0.5338292717933655
91,6715,,,0.996062159538269,0.011717000976204872,,
92,6788,,,,,0.9274349808692932,0.5268235206604004
92,6788,,,0.9925558567047119,0.0206607598811388,,
93,6861,,,,,0.9266589283943176,0.5129571557044983
93,6861,,,0.9948753714561462,0.014153462834656239,,
94,6934,,,,,0.9177337884902954,0.6209440231323242
94,6934,,,0.9940662384033203,0.017075520008802414,,
95,7007,,,,,0.916957676410675,0.527743935585022
95,7007,,,0.9883482456207275,0.033680032938718796,,
96,7080,,,,,0.9309274554252625,0.4734053313732147
96,7080,,,0.9896429181098938,0.030200224369764328,,
97,7153,,,,,0.9231664538383484,0.4725032448768616
97,7153,,,0.991584837436676,0.024159586057066917,,
98,7226,,,,,0.9220023155212402,0.5167646408081055
98,7226,,,0.9957924485206604,0.011357983574271202,,
99,7299,,,,,0.9254947900772095,0.5302877426147461
99,7299,,,0.9967634081840515,0.009752897545695305,,
100,7300,0.9974107146263123,0.007472310680896044,,,,
100,7300,0.9254947900772095,0.5302877426147461,,,,
100,7300,0.9254947900772095,0.5302877426147461,,,,
