epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,110,,,,,0.5147010087966919,1.2674506902694702
0,110,,,0.48495787382125854,1.1641303300857544,,
1,221,,,,,0.5064420104026794,1.116385817527771
1,221,,,0.6358745694160461,0.8657568693161011,,
2,332,,,,,0.5242814421653748,1.1885415315628052
2,332,,,0.691017210483551,0.7480709552764893,,
3,443,,,,,0.589362382888794,1.1694446802139282
3,443,,,0.7307991981506348,0.6553940176963806,,
4,554,,,,,0.5989428758621216,1.0018831491470337
4,554,,,0.7613081336021423,0.5886701345443726,,
5,665,,,,,0.5652461051940918,1.3522844314575195
5,665,,,0.7976923584938049,0.5012344121932983,,
6,776,,,,,0.44350841641426086,1.912003755569458
6,776,,,0.8216181993484497,0.4377141296863556,,
7,887,,,,,0.6475057601928711,1.0202521085739136
7,887,,,0.8543922901153564,0.3690037727355957,,
8,998,,,,,0.6815328598022461,1.0164228677749634
8,998,,,0.8705316185951233,0.3326816260814667,,
9,1109,,,,,0.5992732048034668,1.5803714990615845
9,1109,,,0.9049338102340698,0.24678483605384827,,
10,1220,,,,,0.42137429118156433,3.8313896656036377
10,1220,,,0.9151978492736816,0.2310057133436203,,
11,1331,,,,,0.5444334149360657,3.3028130531311035
11,1331,,,0.9404686093330383,0.16168953478336334,,
12,1442,,,,,0.6470102667808533,1.4653676748275757
12,1442,,,0.9475472569465637,0.1460934728384018,,
13,1553,,,,,0.6681532859802246,1.5081113576889038
13,1553,,,0.9632618427276611,0.10122999548912048,,
14,1664,,,,,0.5941526293754578,2.1353490352630615
14,1664,,,0.9681460857391357,0.08729114383459091,,
15,1775,,,,,0.6432111263275146,1.7895654439926147
15,1775,,,0.9595809578895569,0.1114838570356369,,
16,1886,,,,,0.5832507610321045,2.3253910541534424
16,1886,,,0.9790472388267517,0.05754212290048599,,
17,1997,,,,,0.6803765892982483,1.7006323337554932
17,1997,,,0.9797551035881042,0.05831824988126755,,
18,2108,,,,,0.6995375156402588,1.927329659461975
18,2108,,,0.9873999953269958,0.037778645753860474,,
19,2219,,,,,0.6907829642295837,1.9413650035858154
19,2219,,,0.9912932515144348,0.026466870680451393,,
20,2220,0.7020648717880249,1.8623046875,,,,
