epoch,step,test_loss,train_loss,val_loss
0,49,,0.5128752589225769,
0,99,,0.5867241621017456,
0,149,,0.46644723415374756,
0,199,,0.28692275285720825,
0,249,,0.3725453317165375,
0,299,,0.2951122522354126,
0,349,,0.40014907717704773,
0,399,,0.3341028094291687,
0,449,,0.27735430002212524,
0,499,,0.2607201635837555,
0,549,,0.3698578476905823,
0,599,,0.26052287220954895,
0,649,,0.3450036346912384,
0,699,,0.2542971074581146,
0,749,,0.3035575747489929,
0,799,,0.15178970992565155,
0,849,,0.17119771242141724,
0,899,,0.26706939935684204,
0,949,,0.20515723526477814,
0,999,,0.2720344066619873,
0,1049,,0.21172329783439636,
0,1099,,0.15904511511325836,
0,1149,,0.18778161704540253,
0,1199,,0.12250520288944244,
0,1249,,0.1407661736011505,
0,1299,,0.19212140142917633,
0,1349,,0.1490250825881958,
0,1399,,0.08370858430862427,
0,1449,,0.1641736775636673,
0,1499,,0.15940020978450775,
0,1549,,0.17871178686618805,
0,1599,,0.29597869515419006,
0,1649,,0.12278309464454651,
0,1699,,0.12959572672843933,
0,1749,,0.22055155038833618,
0,1799,,0.12878508865833282,
0,1849,,0.1912330836057663,
0,1874,,,0.13174380362033844
1,1899,,0.11166886240243912,
1,1949,,0.13805577158927917,
1,1999,,0.05091065168380737,
1,2049,,0.15711908042430878,
1,2099,,0.07017558813095093,
1,2149,,0.08915688097476959,
1,2199,,0.08749167621135712,
1,2249,,0.1037454754114151,
1,2299,,0.1346251666545868,
1,2349,,0.1052291989326477,
1,2399,,0.1058788001537323,
1,2449,,0.165308877825737,
1,2499,,0.1040722131729126,
1,2549,,0.1161278784275055,
1,2599,,0.13429546356201172,
1,2649,,0.07032507658004761,
1,2699,,0.09626676887273788,
1,2749,,0.11694809794425964,
1,2799,,0.12558194994926453,
1,2849,,0.12503942847251892,
1,2899,,0.12426944077014923,
1,2949,,0.16837617754936218,
1,2999,,0.11149697750806808,
1,3049,,0.07364977151155472,
1,3099,,0.12190960347652435,
1,3149,,0.12188776582479477,
1,3199,,0.07669665664434433,
1,3249,,0.06737484037876129,
1,3299,,0.09354239702224731,
1,3349,,0.2296387404203415,
1,3399,,0.09102713316679001,
1,3449,,0.04816561937332153,
1,3499,,0.1221514642238617,
1,3549,,0.10672251135110855,
1,3599,,0.169220969080925,
1,3649,,0.08756768703460693,
1,3699,,0.12134427577257156,
1,3749,,0.11839703470468521,
1,3749,,,0.0908694937825203
2,3799,,0.13201633095741272,
2,3849,,0.11892672628164291,
2,3899,,0.10694602131843567,
2,3949,,0.0965854600071907,
2,3999,,0.1070217490196228,
2,4049,,0.0794479250907898,
2,4099,,0.11246679723262787,
2,4149,,0.1129564419388771,
2,4199,,0.10353146493434906,
2,4249,,0.08201272785663605,
2,4299,,0.07485964894294739,
2,4349,,0.11962102353572845,
2,4399,,0.10285928100347519,
2,4449,,0.1025756448507309,
2,4499,,0.15408015251159668,
2,4549,,0.07143142074346542,
2,4599,,0.07541827857494354,
2,4649,,0.10234953463077545,
2,4699,,0.08250712603330612,
2,4749,,0.09830676019191742,
2,4799,,0.09118518233299255,
2,4849,,0.09351161122322083,
2,4899,,0.05838817358016968,
2,4949,,0.034999996423721313,
2,4999,,0.05162116885185242,
2,5049,,0.09032217413187027,
2,5099,,0.07092069089412689,
2,5149,,0.04662797972559929,
2,5199,,0.11030671000480652,
2,5249,,0.07593504339456558,
2,5299,,0.09695069491863251,
2,5349,,0.15673738718032837,
2,5399,,0.06703886389732361,
2,5449,,0.11546792089939117,
2,5499,,0.1269766390323639,
2,5549,,0.07562475651502609,
2,5599,,0.10117857903242111,
2,5624,,,0.07927735894918442
3,5649,,0.0778963565826416,
3,5699,,0.10333738476037979,
3,5749,,0.026997985318303108,
3,5799,,0.09832088649272919,
3,5849,,0.06390964239835739,
3,5899,,0.0531938262283802,
3,5949,,0.0643586665391922,
3,5999,,0.05367736145853996,
3,6049,,0.0808212012052536,
3,6099,,0.058514710515737534,
3,6149,,0.07295206189155579,
3,6199,,0.11653892695903778,
3,6249,,0.07129348069429398,
3,6299,,0.0621299184858799,
3,6349,,0.11432149261236191,
3,6399,,0.054090145975351334,
3,6449,,0.0608544647693634,
3,6499,,0.07713362574577332,
3,6549,,0.07892181724309921,
3,6599,,0.11479682475328445,
3,6649,,0.07214301824569702,
3,6699,,0.13138076663017273,
3,6749,,0.0723220556974411,
3,6799,,0.05294287949800491,
3,6849,,0.09780514240264893,
3,6899,,0.08329296112060547,
3,6949,,0.04734540730714798,
3,6999,,0.05919788032770157,
3,7049,,0.05978800728917122,
3,7099,,0.1619482934474945,
3,7149,,0.048488520085811615,
3,7199,,0.035384438931941986,
3,7249,,0.1003355160355568,
3,7299,,0.09411740303039551,
3,7349,,0.11179303377866745,
3,7399,,0.0650104433298111,
3,7449,,0.10101103037595749,
3,7499,,0.0907188206911087,
3,7499,,,0.07156002521514893
4,7549,,0.1023474782705307,
4,7599,,0.06968257576227188,
4,7649,,0.070747971534729,
4,7699,,0.08625286817550659,
4,7749,,0.08429412543773651,
4,7799,,0.06151863560080528,
4,7849,,0.0885506197810173,
4,7899,,0.09102694690227509,
4,7949,,0.06541473418474197,
4,7999,,0.0646471232175827,
4,8049,,0.06269361823797226,
4,8099,,0.10043291747570038,
4,8149,,0.07513660192489624,
4,8199,,0.07880125194787979,
4,8249,,0.1304420828819275,
4,8299,,0.05939149856567383,
4,8349,,0.06212247163057327,
4,8399,,0.07140000909566879,
4,8449,,0.06716129928827286,
4,8499,,0.06768498569726944,
4,8549,,0.07587532699108124,
4,8599,,0.08481740951538086,
4,8649,,0.03951054811477661,
4,8699,,0.024238865822553635,
4,8749,,0.03529592230916023,
4,8799,,0.07260365039110184,
4,8849,,0.04587181657552719,
4,8899,,0.036377500742673874,
4,8949,,0.09263601154088974,
4,8999,,0.06252230703830719,
4,9049,,0.0771084874868393,
4,9099,,0.11451807618141174,
4,9149,,0.05267598479986191,
4,9199,,0.09551064670085907,
4,9249,,0.0957401841878891,
4,9299,,0.064984530210495,
4,9349,,0.07043086737394333,
4,9374,,,0.0656605213880539
5,9399,,0.05764739215373993,
5,9449,,0.0873284637928009,
5,9499,,0.023094814270734787,
5,9549,,0.0826791375875473,
5,9599,,0.05536707863211632,
5,9649,,0.04094519838690758,
5,9699,,0.05850035697221756,
5,9749,,0.038301751017570496,
5,9799,,0.06515303254127502,
5,9849,,0.04358777776360512,
5,9899,,0.05589143559336662,
5,9949,,0.09959303587675095,
5,9999,,0.060849301517009735,
5,10049,,0.046895235776901245,
5,10099,,0.10545355081558228,
5,10149,,0.046443548053503036,
5,10199,,0.04959307610988617,
5,10249,,0.0648922398686409,
5,10299,,0.06321536749601364,
5,10349,,0.10720095038414001,
5,10399,,0.051400914788246155,
5,10449,,0.11459551006555557,
5,10499,,0.05794575810432434,
5,10549,,0.0445844829082489,
5,10599,,0.08710512518882751,
5,10649,,0.06563042104244232,
5,10699,,0.0374833308160305,
5,10749,,0.055461570620536804,
5,10799,,0.04596788063645363,
5,10849,,0.11864661425352097,
5,10899,,0.03328640013933182,
5,10949,,0.03353147581219673,
5,10999,,0.08926448225975037,
5,11049,,0.08658467233181,
5,11099,,0.08973448723554611,
5,11149,,0.05468331277370453,
5,11199,,0.08658479899168015,
5,11249,,0.07076644897460938,
5,11249,,,0.06108667701482773
6,11299,,0.08740547299385071,
6,11349,,0.05517503246665001,
6,11399,,0.05539218336343765,
6,11449,,0.07746058702468872,
6,11499,,0.0716698095202446,
6,11549,,0.05266547575592995,
6,11599,,0.07468446344137192,
6,11649,,0.07644510269165039,
6,11699,,0.047076571732759476,
6,11749,,0.05575486645102501,
6,11799,,0.05743177980184555,
6,11849,,0.08756527304649353,
6,11899,,0.06125408783555031,
6,11949,,0.06322604417800903,
6,11999,,0.11702398955821991,
6,12049,,0.05306018888950348,
6,12099,,0.05685259401798248,
6,12149,,0.05575088411569595,
6,12199,,0.05987178906798363,
6,12249,,0.052391912788152695,
6,12299,,0.06977074593305588,
6,12349,,0.0764397457242012,
6,12399,,0.030771926045417786,
6,12449,,0.020318787544965744,
6,12499,,0.027111439034342766,
