epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,1815,,,,,0.6579462289810181,0.8954923152923584
0,1815,,,0.6158508062362671,1.0861297845840454,,
1,3631,,,,,0.6872101426124573,0.7924993634223938
1,3631,,,0.6769360899925232,0.8356713056564331,,
2,5447,,,,,0.6991915106773376,0.7484039068222046
2,5447,,,0.6939861178398132,0.7679237127304077,,
3,7263,,,,,0.7076181769371033,0.7239891886711121
3,7263,,,0.7033082246780396,0.7351635694503784,,
4,9079,,,,,0.7141653895378113,0.707916796207428
4,9079,,,0.7106919288635254,0.7153968811035156,,
5,10895,,,,,0.7177063226699829,0.6962841749191284
5,10895,,,0.7157219648361206,0.7017020583152771,,
6,12711,,,,,0.7203775644302368,0.6875116229057312
6,12711,,,0.7189727425575256,0.6915870308876038,,
7,14527,,,,,0.7226700782775879,0.6805108785629272
7,14527,,,0.7214619517326355,0.6837570071220398,,
8,16343,,,,,0.7246276140213013,0.6746718883514404
8,16343,,,0.7234498262405396,0.6773618459701538,,
9,18159,,,,,0.7262271046638489,0.6696478724479675
9,18159,,,0.7252269387245178,0.6719394326210022,,
10,19975,,,,,0.7272919416427612,0.6652250289916992
10,19975,,,0.7266597747802734,0.6672186851501465,,
11,21791,,,,,0.7281226515769958,0.6612573266029358
11,21791,,,0.7275655269622803,0.6630232334136963,,
12,23607,,,,,0.7290268540382385,0.657645046710968
12,23607,,,0.728415310382843,0.6592302322387695,,
13,25423,,,,,0.7297703623771667,0.6543166637420654
13,25423,,,0.7292285561561584,0.6557546854019165,,
14,27239,,,,,0.7306010723114014,0.6512202620506287
14,27239,,,0.7300310730934143,0.6525370478630066,,
15,29055,,,,,0.7314478754997253,0.648318350315094
15,29055,,,0.7307560443878174,0.6495326161384583,,
16,30871,,,,,0.732143223285675,0.6455828547477722
16,30871,,,0.7316166162490845,0.6467090249061584,,
17,32687,,,,,0.7328775525093079,0.6429919600486755
17,32687,,,0.7322642207145691,0.6440423727035522,,
18,34503,,,,,0.7336325645446777,0.6405274868011475
18,34503,,,0.733027994632721,0.6415099501609802,,
19,36319,,,,,0.7343875765800476,0.6381767988204956
19,36319,,,0.7336669564247131,0.639097273349762,,
20,38135,,,,,0.7350990176200867,0.6359251737594604
20,38135,,,0.7343962788581848,0.6367921829223633,,
21,39951,,,,,0.7356956601142883,0.6337641477584839
21,39951,,,0.7350094318389893,0.6345813274383545,,
22,41767,,,,,0.7362716794013977,0.6316849589347839
22,41767,,,0.7356118559837341,0.6324570775032043,,
23,43583,,,,,0.7367673516273499,0.6296806335449219
23,43583,,,0.7361819744110107,0.6304119229316711,,
24,45399,,,,,0.737393856048584,0.6277502775192261
24,45399,,,0.7366445064544678,0.6284376382827759,,
25,47215,,,,,0.7379675507545471,0.6259231567382812
25,47215,,,0.7372038960456848,0.6265447735786438,,
26,49031,,,,,0.7384839057922363,0.6241568326950073
26,49031,,,0.7377955317497253,0.6247426271438599,,
27,50847,,,,,0.7390943169593811,0.6224470734596252
27,50847,,,0.7383807301521301,0.6229965686798096,,
28,52663,,,,,0.7396771907806396,0.6207867860794067
28,52663,,,0.7388777136802673,0.6213065981864929,,
29,54479,,,,,0.74005126953125,0.6191736459732056
29,54479,,,0.7393423914909363,0.6196629405021667,,
30,54480,0.7393788695335388,0.6200712323188782,,,,
