epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,1815,,,,,0.659692645072937,0.9016198515892029
0,1815,,,0.6180861592292786,1.1034497022628784,,
1,3631,,,,,0.6827627420425415,0.7950206995010376
1,3631,,,0.6725149750709534,0.839540958404541,,
2,5447,,,,,0.6986315846443176,0.749470591545105
2,5447,,,0.6921144127845764,0.7697692513465881,,
3,7263,,,,,0.7083112597465515,0.7239053845405579
3,7263,,,0.7040956616401672,0.7356097102165222,,
4,9079,,,,,0.7144293189048767,0.7072950601577759
4,9079,,,0.711724579334259,0.7150037884712219,,
5,10895,,,,,0.7180964946746826,0.6955022811889648
5,10895,,,0.716257631778717,0.7009692192077637,,
6,12711,,,,,0.7205037474632263,0.686617910861969
6,12711,,,0.7194008827209473,0.69073086977005,,
7,14527,,,,,0.7225255370140076,0.6795486211776733
7,14527,,,0.7213887572288513,0.6828001141548157,,
8,16343,,,,,0.7240056991577148,0.6736831068992615
8,16343,,,0.7230604290962219,0.6763529777526855,,
9,18159,,,,,0.7253183722496033,0.6686545610427856
9,18159,,,0.7243770956993103,0.6709110140800476,,
10,19975,,,,,0.7264910340309143,0.6642328500747681
10,19975,,,0.7256378531455994,0.6661840677261353,,
11,21791,,,,,0.7275649905204773,0.6602690815925598
11,21791,,,0.7265328168869019,0.6619859337806702,,
12,23607,,,,,0.7284393310546875,0.656665563583374
12,23607,,,0.7276085615158081,0.6581954956054688,,
13,25423,,,,,0.7292172908782959,0.6533533930778503
13,25423,,,0.7285013794898987,0.654730498790741,,
14,27239,,,,,0.7299401760101318,0.6502784490585327
14,27239,,,0.729215681552887,0.651529848575592,,
15,29055,,,,,0.7307066321372986,0.6474035382270813
15,29055,,,0.7298998236656189,0.648547887802124,,
16,30871,,,,,0.731505274772644,0.6447017788887024
16,30871,,,0.7306377291679382,0.6457524299621582,,
17,32687,,,,,0.7323727011680603,0.6421499848365784
17,32687,,,0.7313972115516663,0.6431176066398621,,
18,34503,,,,,0.7330565452575684,0.6397354006767273
18,34503,,,0.7320705652236938,0.6406285762786865,,
19,36319,,,,,0.7335729002952576,0.637435257434845
19,36319,,,0.73284512758255,0.6382647156715393,,
20,38135,,,,,0.7341879606246948,0.6352379322052002
20,38135,,,0.7334926724433899,0.6360099911689758,,
21,39951,,,,,0.7347960472106934,0.6331313848495483
21,39951,,,0.734133780002594,0.6338517069816589,,
22,41767,,,,,0.7355051636695862,0.6311067938804626
22,41767,,,0.7347168326377869,0.6317804455757141,,
23,43583,,,,,0.7360490560531616,0.6291571259498596
23,43583,,,0.7352116703987122,0.6297872066497803,,
24,45399,,,,,0.73654705286026,0.6272749900817871
24,45399,,,0.735794723033905,0.6278654336929321,,
25,47215,,,,,0.7370151877403259,0.6254557371139526
25,47215,,,0.7363561987876892,0.6260104179382324,,
26,49031,,,,,0.7375774383544922,0.6236925721168518
26,49031,,,0.7368101477622986,0.6242139935493469,,
27,50847,,,,,0.7379859089851379,0.6219825148582458
27,50847,,,0.7374255061149597,0.6224727034568787,,
28,52663,,,,,0.7384012937545776,0.6203507781028748
28,52663,,,0.7378772497177124,0.6207873225212097,,
29,54479,,,,,0.7388969659805298,0.6187785863876343
29,54479,,,0.7382559180259705,0.6191766262054443,,
30,54480,0.7377059459686279,0.6194776296615601,,,,
