rank 	distance(m)	 windspeed(m/s)
1	8.95	0.3
2	8.9	2
3	8.87	-0.2
4	8.86	1.9
5	8.74	1.4
6	8.74	2
7	8.74	-1.2
8	8.73	1.2
9	8.71	1.9
10	8.71	0
11	8.66	1.6
12	8.63	0.5
13	8.62	0.7
14	8.59	0
15	8.58	1.8
16	8.56	1.3
17	8.56	0.2
18	8.54	0.9
19	8.54	1.7
20	8.53	1.2
21	8.52	0.7
22	8.52	1.8
23	8.51	1.7
24	8.51	1.7
25	8.5	0.2
26	8.5	1.3
