epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,110,,,,,0.2641229033470154,2.4530396461486816
0,110,,,0.28732216358184814,5.9286909103393555,,
1,221,,,,,0.2973240911960602,2.210322856903076
1,221,,,0.2898704707622528,3.616039514541626,,
2,332,,,,,0.3363065719604492,8.880166053771973
2,332,,,0.287251353263855,5.188118934631348,,
3,443,,,,,0.35877105593681335,19.386552810668945
3,443,,,0.27316486835479736,10.898594856262207,,
4,554,,,,,0.23967625200748444,14.161209106445312
4,554,,,0.2697671055793762,12.43380069732666,,
5,665,,,,,0.15295672416687012,30.499670028686523
5,665,,,0.270404189825058,12.92307186126709,,
6,776,,,,,0.35877105593681335,15.00182819366455
6,776,,,0.26403340697288513,11.35344409942627,,
7,887,,,,,0.2485959678888321,7.813210487365723
7,887,,,0.2694839537143707,8.068053245544434,,
8,998,,,,,0.2485959678888321,5.970160961151123
8,998,,,0.26502442359924316,10.229266166687012,,
9,1109,,,,,0.35877105593681335,8.333361625671387
9,1109,,,0.27019181847572327,13.880809783935547,,
10,1220,,,,,0.23967625200748444,5.131341457366943
10,1220,,,0.27075812220573425,8.456604957580566,,
11,1331,,,,,0.35877105593681335,12.656428337097168
11,1331,,,0.2643873393535614,8.610491752624512,,
12,1442,,,,,0.23967625200748444,6.4992194175720215
12,1442,,,0.27458059787750244,10.031214714050293,,
13,1553,,,,,0.35877105593681335,11.6143798828125
13,1553,,,0.27097049355506897,10.691222190856934,,
14,1664,,,,,0.15295672416687012,3.4611294269561768
14,1664,,,0.27450981736183167,7.579921245574951,,
15,1775,,,,,0.15295672416687012,4.688258647918701
15,1775,,,0.27479293942451477,8.67123031616211,,
16,1886,,,,,0.23967625200748444,17.184995651245117
16,1886,,,0.27132442593574524,12.781768798828125,,
17,1997,,,,,0.23967625200748444,5.413636684417725
17,1997,,,0.2724570035934448,9.791732788085938,,
18,2108,,,,,0.23967625200748444,3.4616663455963135
18,2108,,,0.27868619561195374,8.541712760925293,,
19,2219,,,,,0.2485959678888321,7.537225723266602
19,2219,,,0.26644015312194824,13.802290916442871,,
20,2220,0.2424778789281845,7.675171375274658,,,,
