epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,1815,,,,,0.5261761546134949,1.4476115703582764
0,1815,,,0.4607161283493042,1.639642357826233,,
1,3631,,,,,0.6008871793746948,1.2140246629714966
1,3631,,,0.5647201538085938,1.3196959495544434,,
2,5447,,,,,0.6176854372024536,1.0887852907180786
2,5447,,,0.6122923493385315,1.1447418928146362,,
3,7263,,,,,0.6247673630714417,1.020157814025879
3,7263,,,0.6212745308876038,1.051487922668457,,
4,9079,,,,,0.6313856840133667,0.9740089178085327
4,9079,,,0.6283140182495117,0.9961444735527039,,
5,10895,,,,,0.6380316019058228,0.9334860444068909
5,10895,,,0.6351404786109924,0.953762412071228,,
6,12711,,,,,0.6453131437301636,0.889759361743927
6,12711,,,0.6419174075126648,0.912247359752655,,
7,14527,,,,,0.6652392745018005,0.8399456739425659
7,14527,,,0.6523540019989014,0.865143895149231,,
8,16343,,,,,0.6871871948242188,0.7982434630393982
8,16343,,,0.6783926486968994,0.8180298805236816,,
9,18159,,,,,0.6968461871147156,0.7723802924156189
9,18159,,,0.6917594075202942,0.7845374941825867,,
10,19975,,,,,0.7011467218399048,0.7560965418815613
10,19975,,,0.699304461479187,0.7640361189842224,,
11,21791,,,,,0.7041139602661133,0.7448015213012695
11,21791,,,0.7028241753578186,0.7504544854164124,,
12,23607,,,,,0.7054656147956848,0.7365037202835083
12,23607,,,0.7049432992935181,0.7407683730125427,,
13,25423,,,,,0.7073313593864441,0.7300722002983093
13,25423,,,0.7063374519348145,0.7334582805633545,,
14,27239,,,,,0.7093737721443176,0.7248807549476624
14,27239,,,0.708351194858551,0.7276753783226013,,
15,29055,,,,,0.7111867070198059,0.720513641834259
15,29055,,,0.7102271914482117,0.7229057550430298,,
16,30871,,,,,0.713557243347168,0.7167488932609558
16,30871,,,0.7123894095420837,0.718842625617981,,
17,32687,,,,,0.7154298424720764,0.7134290337562561
17,32687,,,0.7146397829055786,0.715299129486084,,
18,34503,,,,,0.7167998552322388,0.7104653716087341
18,34503,,,0.7163071036338806,0.7121536731719971,,
19,36319,,,,,0.7180023789405823,0.7077801823616028
19,36319,,,0.7175226807594299,0.7093305587768555,,
20,38135,,,,,0.7188055515289307,0.7053258419036865
20,38135,,,0.7183165550231934,0.7067508697509766,,
21,39951,,,,,0.7195169925689697,0.7030438780784607
21,39951,,,0.719028651714325,0.7043757438659668,,
22,41767,,,,,0.7199530005455017,0.70088791847229
22,41767,,,0.719646155834198,0.7021487355232239,,
23,43583,,,,,0.7203316688537598,0.6988344788551331
23,43583,,,0.7200635075569153,0.7000409960746765,,
24,45399,,,,,0.7207010984420776,0.6968574523925781
24,45399,,,0.7204916477203369,0.6980225443840027,,
25,47215,,,,,0.7211784720420837,0.6949689388275146
25,47215,,,0.72093266248703,0.6960818767547607,,
26,49031,,,,,0.7213620543479919,0.6931818127632141
26,49031,,,0.7213629484176636,0.6942399740219116,,
27,50847,,,,,0.7216305136680603,0.6914991736412048
27,50847,,,0.7215867042541504,0.692505419254303,,
28,52663,,,,,0.7217613458633423,0.6898971199989319
28,52663,,,0.7217480540275574,0.6908674240112305,,
29,54479,,,,,0.7219954133033752,0.6883556246757507
29,54479,,,0.721834123134613,0.6892983317375183,,
30,54480,0.7219334244728088,0.6907248497009277,,,,
