Stress (MPa),Strain
30.676,0.0091265
30.782,0.009162
30.888,0.0091976
30.993,0.0092332
31.099,0.0092688
31.205,0.0093044
31.311,0.00934
31.417,0.0093755
31.523,0.0094111
31.629,0.0094467
31.735,0.0094823
31.841,0.0095179
31.947,0.0095534
32.053,0.009589
32.158,0.0096246
32.264,0.0096602
32.37,0.0096958
32.476,0.0097314
32.582,0.0097669
32.688,0.0098025
32.794,0.0098381
32.9,0.0098737
33.006,0.0099078
33.112,0.0099415
33.218,0.0099751
33.324,0.010009
33.429,0.010042
33.535,0.010076
33.641,0.01011
33.747,0.010143
33.856,0.010177
33.966,0.01021
34.076,0.010244
34.186,0.010278
34.296,0.010311
34.406,0.010345
34.497,0.010379
34.585,0.010412
34.673,0.010446
34.761,0.010479
34.849,0.010513
34.937,0.010547
35.025,0.01058
35.118,0.010614
35.245,0.010648
35.371,0.010681
35.498,0.010715
35.625,0.010749
35.751,0.010782
35.878,0.010816
36.004,0.010849
36.131,0.010883
36.258,0.010917
36.384,0.01095
36.471,0.010984
36.557,0.011018
36.643,0.011051
36.729,0.011085
36.815,0.011118
36.901,0.011152
36.987,0.011186
37.073,0.011219
37.159,0.011253
37.245,0.011287
37.331,0.01132
37.417,0.011354
37.503,0.011387
37.589,0.011421
37.675,0.011455
37.761,0.011488
37.874,0.011522
37.998,0.011608
38.123,0.011723
38.248,0.011837
38.372,0.011886
38.497,0.011925
38.622,0.011964
38.746,0.012002
38.871,0.012041
38.996,0.01208
39.12,0.012119
39.245,0.012158
39.37,0.012196
39.483,0.012235
39.585,0.012274
39.687,0.012313
39.789,0.012352
39.891,0.01239
39.993,0.012429
40.095,0.012468
40.197,0.012507
40.299,0.012546
40.401,0.012584
40.503,0.012623
40.605,0.012662
40.707,0.012701
40.809,0.01274
40.911,0.012779
41.013,0.012817
41.115,0.012856
41.217,0.012895
41.318,0.012934
41.42,0.012973
41.522,0.013011
41.624,0.01305
41.726,0.013089
41.828,0.013128
41.93,0.013167
42.032,0.013205
42.134,0.013244
42.236,0.013283
42.338,0.013322
42.44,0.013361
42.542,0.013399
42.644,0.013438
42.746,0.013477
42.848,0.013516
42.95,0.013555
43.052,0.013593
43.09,0.013632
43.114,0.013671
43.138,0.01371
43.163,0.01375
43.213,0.01379
43.31,0.013829
43.407,0.013869
43.504,0.013908
43.601,0.013948
43.699,0.013988
43.796,0.014027
43.893,0.014067
43.99,0.014106
44.087,0.014146
44.185,0.014186
44.282,0.014225
44.379,0.014265
44.476,0.014304
44.573,0.014344
44.67,0.014384
44.768,0.014423
44.865,0.014463
44.962,0.014503
45.059,0.014542
45.156,0.014582
45.251,0.014621
45.344,0.014661
45.437,0.014701
45.53,0.01474
45.623,0.01478
45.717,0.014819
45.81,0.014859
45.903,0.014899
46.035,0.014938
46.167,0.014978
46.3,0.015017
46.433,0.015057
46.565,0.015097
46.655,0.015136
46.74,0.015176
46.826,0.015216
46.911,0.015255
46.997,0.015295
47.082,0.015334
47.168,0.015374
47.253,0.015414
47.339,0.015453
47.424,0.015493
47.51,0.015532
47.595,0.015572
47.681,0.015612
47.766,0.015651
47.852,0.015691
47.937,0.01573
48.023,0.01577
48.108,0.01581
48.194,0.015849
48.279,0.015889
