Stress (MPa)	Strain
25.625	0.2681
25.604	0.26895
25.582	0.26981
25.56	0.27067
25.539	0.27152
25.42	0.27238
25.439	0.27332
25.459	0.27429
25.476	0.27524
25.485	0.27612
25.493	0.277
25.349	0.27787
25.313	0.27859
25.347	0.27943
25.359	0.28036
25.372	0.28128
25.384	0.2822
25.389	0.28313
25.322	0.28397
25.293	0.28479
25.264	0.28561
25.235	0.28643
25.209	0.28727
25.215	0.2882
25.226	0.28914
25.26	0.29009
25.215	0.29104
25.171	0.29187
25.125	0.29262
25.096	0.29349
25.128	0.29441
25.124	0.29532
25.096	0.29624
25.068	0.29714
25.083	0.29801
25.104	0.29887
25.063	0.29974
25.006	0.3006
25.044	0.30154
25.002	0.3025
24.961	0.30345
25.028	0.30432
25.026	0.3052
25.024	0.30607
24.898	0.30685
24.925	0.30763
24.952	0.30853
24.978	0.30943
24.981	0.31034
24.955	0.31124
24.929	0.31214
24.818	0.31304
24.843	0.31393
24.865	0.31483
24.88	0.31573
24.894	0.31662
24.873	0.31748
24.829	0.31832
24.79	0.31917
24.759	0.32002
24.695	0.32096
24.79	0.322
24.758	0.32264
24.728	0.32354
24.698	0.32444
24.668	0.32534
24.694	0.32623
24.68	0.32713
24.639	0.32803
24.594	0.32892
24.673	0.3298
24.708	0.33067
24.689	0.33154
24.67	0.33242
24.651	0.33329
24.526	0.33416
24.525	0.33506
24.584	0.33602
24.643	0.33693
24.641	0.3378
24.581	0.33867
24.546	0.33954
24.543	0.34041
24.541	0.34129
24.401	0.34216
24.404	0.34303
24.408	0.3439
24.426	0.34477
24.455	0.34564
24.484	0.34648
24.444	0.3473
24.368	0.34813
24.358	0.34906
24.41	0.35
24.462	0.35095
24.364	0.35191
24.352	0.3528
24.341	0.35366
24.319	0.35453
24.264	0.3554
24.258	0.35626
24.278	0.35713
24.297	0.358
24.316	0.35886
24.266	0.35967
24.221	0.36072
24.196	0.36161
24.171	0.3625
24.17	0.36326
24.182	0.36414
24.172	0.36502
24.161	0.3659
24.15	0.36679
24.139	0.36767
24.129	0.36855
24.118	0.36943
24.107	0.37031
24.096	0.3712
24.086	0.37218
24.075	0.37316
24.064	0.37414
24.054	0.37513
24.043	0.3759
24.049	0.37661
24.057	0.37742
24.065	0.37834
24.063	0.37931
24.043	0.38029
24.022	0.38118
24.001	0.38205
23.974	0.38292
23.942	0.38379
23.91	0.38466
23.878	0.38543
23.908	0.38619
23.957	0.38698
23.934	0.38792
23.904	0.38886
23.873	0.38979
23.871	0.39073
23.89	0.39167
23.909	0.39261
23.928	0.39355
23.948	0.39446
23.852	0.39532
23.835	0.39618
23.818	0.39705
23.802	0.39791
23.771	0.39876
23.748	0.39959
23.738	0.40027
