Stress (MPa)	Strain
158.16	0.15491
158.18	0.15572
158.19	0.15628
158.21	0.15683
158.23	0.15738
158.24	0.15793
158.26	0.15848
158.27	0.15903
158.29	0.15958
158.3	0.16014
158.32	0.16064
158.33	0.16113
158.35	0.16162
158.36	0.16211
158.38	0.16259
158.45	0.16307
158.63	0.16356
158.81	0.16412
159	0.16473
159.09	0.16533
159.06	0.16593
159.03	0.16654
159.01	0.16714
158.98	0.16775
158.96	0.16835
158.94	0.16895
158.93	0.16955
158.92	0.17014
158.9	0.17074
158.89	0.17133
158.88	0.17197
158.87	0.17263
158.87	0.17333
158.87	0.17403
158.86	0.17473
158.86	0.17543
158.86	0.17565
158.86	0.17602
159.01	0.17643
159.15	0.17683
159.29	0.17724
159.43	0.17887
159.58	0.17948
159.3	0.18009
158.87	0.18069
158.66	0.1813
158.44	0.18191
158.51	0.18252
159.21	0.18313
159.51	0.18374
159.39	0.18432
159.26	0.18487
159.14	0.18543
159.02	0.18598
158.9	0.18574
158.85	0.18692
158.79	0.18767
158.74	0.18827
158.69	0.18887
158.64	0.18947
158.59	0.19007
158.54	0.19053
158.49	0.19093
158.44	0.19133
158.38	0.19174
158.33	0.19226
158.28	0.1929
158.23	0.19353
158.18	0.19416
158.13	0.19479
158.08	0.19552
156.87	0.19629
156.81	0.1969
157.29	0.19747
157.29	0.19805
157.3	0.19862
157.3	0.19919
157.33	0.19976
157.46	0.20036
157.59	0.20111
155.29	0.20185
155.36	0.2026
155.42	0.20334
155.46	0.20409
155.36	0.20441
155.26	0.20486
155.13	0.20534
155	0.20582
154.86	0.20631
154.72	0.20683
154.58	0.20746
154.44	0.20808
154.18	0.2087
153.9	0.20933
153.62	0.20995
153.34	0.21058
153.06	0.2112
152.78	0.21183
152.5	0.21245
152.22	0.21307
151.93	0.2137
151.65	0.21432
151.72	0.21496
151.81	0.21566
149.31	0.21635
149.13	0.21705
148.96	0.21775
148.67	0.21845
148.19	0.21914
147.71	0.21984
147.23	0.22054
146.75	0.22124
146.27	0.222
145.47	0.22281
144.67	0.22362
143.87	0.22443
143.07	0.22507
142.4	0.22555
141.72	0.22603
141.05	0.22669
140.38	0.22739
139.7	0.2281
139.03	0.2288
138.36	0.2295
137.68	0.23021
137.01	0.23091
136.33	0.23165
135.63	0.23241
134.75	0.23317
133.87	0.23392
132.99	0.23468
132.11	0.23544
131.23	0.23631
130.29	0.23734
129.12	0.2381
127.94	0.23875
126.76	0.23941
125.59	0.24018
124.41	0.24102
121.99	0.24187
120.06	0.24271
118.42	0.24355
116.77	0.24464
114.9	0.24543
112.72	0.24606
110.54	0.24711
108.36	0.24816
