epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,1815,,,,,0.578441321849823,1.1679275035858154
0,1815,,,0.5170446634292603,1.409977674484253,,
1,3631,,,,,0.6365628838539124,0.9847902059555054
1,3631,,,0.6123504638671875,1.0660403966903687,,
2,5447,,,,,0.6576869487762451,0.8886532783508301
2,5447,,,0.6488686800003052,0.9324455261230469,,
3,7263,,,,,0.668238639831543,0.8320341110229492
3,7263,,,0.6635134220123291,0.8583948612213135,,
4,9079,,,,,0.6763991117477417,0.7959416508674622
4,9079,,,0.6724977493286133,0.8129399418830872,,
5,10895,,,,,0.6845549941062927,0.7715599536895752
5,10895,,,0.6803783774375916,0.783159077167511,,
6,12711,,,,,0.6936907768249512,0.7538053393363953
6,12711,,,0.6892486810684204,0.7623654007911682,,
7,14527,,,,,0.7016378045082092,0.7399178147315979
7,14527,,,0.6977553963661194,0.7466680407524109,,
8,16343,,,,,0.7072097063064575,0.7285603880882263
8,16343,,,0.7042505741119385,0.7340943813323975,,
9,18159,,,,,0.711232602596283,0.7190358638763428
9,18159,,,0.7089643478393555,0.7236679196357727,,
10,19975,,,,,0.7144040465354919,0.7109361290931702
10,19975,,,0.7124991416931152,0.7148540616035461,,
11,21791,,,,,0.7168985605239868,0.7040019035339355
11,21791,,,0.7154508829116821,0.7073330879211426,,
12,23607,,,,,0.7186954021453857,0.6980262994766235
12,23607,,,0.7174387574195862,0.7008768916130066,,
13,25423,,,,,0.7198864221572876,0.6928249597549438
13,25423,,,0.7190222144126892,0.69528728723526,,
14,27239,,,,,0.7210453748703003,0.6882405281066895
14,27239,,,0.7202442288398743,0.6903923153877258,,
15,29055,,,,,0.7223625779151917,0.6841514706611633
15,29055,,,0.7215286493301392,0.6860514283180237,,
16,30871,,,,,0.7234641313552856,0.6804591417312622
16,30871,,,0.7226603031158447,0.6821550726890564,,
17,32687,,,,,0.7245426774024963,0.6770884394645691
17,32687,,,0.723759651184082,0.6786161661148071,,
18,34503,,,,,0.725596010684967,0.6739839315414429
18,34503,,,0.7249343395233154,0.6753711104393005,,
19,36319,,,,,0.7262821793556213,0.6710988879203796
19,36319,,,0.7257583141326904,0.6723676919937134,,
20,38135,,,,,0.7269270420074463,0.6683985590934753
20,38135,,,0.7265005707740784,0.6695669889450073,,
21,39951,,,,,0.7275260090827942,0.6658592820167542
21,39951,,,0.7270685434341431,0.6669392585754395,,
22,41767,,,,,0.728157103061676,0.6634572744369507
22,41767,,,0.7276257276535034,0.664459764957428,,
23,43583,,,,,0.7286871671676636,0.6611788272857666
23,43583,,,0.7281700372695923,0.6621095538139343,,
24,45399,,,,,0.7292540073394775,0.659026026725769
24,45399,,,0.7287810444831848,0.659880518913269,,
25,47215,,,,,0.7298552393913269,0.6569714546203613
25,47215,,,0.7293447256088257,0.6577656865119934,,
26,49031,,,,,0.7303348779678345,0.6550037264823914
26,49031,,,0.7299729585647583,0.6557446718215942,,
27,50847,,,,,0.7306699156761169,0.653110146522522
27,50847,,,0.7303666472434998,0.6538006067276001,,
28,52663,,,,,0.7310417294502258,0.6512852907180786
28,52663,,,0.7307152152061462,0.6519308090209961,,
29,54479,,,,,0.7314272522926331,0.6495230197906494
29,54479,,,0.7311562299728394,0.6501250863075256,,
30,54480,0.7315442562103271,0.6505558490753174,,,,
